dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20190114;12;BBFI11B;010;FII BB PROGR;CI      MB;;R$;0000000211399;0000000215500;0000000211399;0000000213873;0000000214000;0000000212100;00065;000000000000000104;000000000022242796;0000000000000;0;99991231;0000001;0000000000000;BRBBFICTF006;262
20190114;12;BBPO11;010;FII BB PRGII;CI;;R$;0000000013998;0000000014000;0000000013965;0000000013993;0000000014000;0000000013983;01015;000000000000016787;000000000234914205;0000000000000;0;99991231;0000001;0000000000000;BRBBPOCTF003;174
20190114;12;BBRC11;010;FII BB CORP;CI;;R$;0000000013912;0000000013945;0000000013822;0000000013887;0000000013822;0000000013822;00083;000000000000001975;000000000027427359;0000000000000;0;99991231;0000001;0000000000000;BRBBRCCTF004;188
20190114;02;BBRK3;010;BR BROKERS;ON      NM;;R$;0000000000642;0000000000652;0000000000630;0000000000640;0000000000644;0000000000644;00238;000000000000055900;000000000035802000;0000000000000;0;99991231;0000001;0000000000000;BRBBRKACNOR4;113
20190114;14;BBSD11;010;BB ETF SP DV;CI;;R$;0000000007378;0000000007466;0000000007378;0000000007443;0000000007443;0000000007320;00029;000000000000001190;000000000008858040;0000000000000;0;99991231;0000001;0000000000000;BRBBSDCTF000;100
20190114;02;BBSE3;010;BBSEGURIDADE;ON      NM;;R$;0000000002784;0000000002805;0000000002762;0000000002791;0000000002800;0000000002798;11076;000000000002841900;000000007933443500;0000000000000;0;99991231;0000001;0000000000000;BRBBSEACNOR5;112
20190114;12;BBVJ11;010;FII C JARDIM;CI;;R$;0000000005576;0000000005576;0000000005511;0000000005541;0000000005511;0000000005511;00040;000000000000004792;000000000026556757;0000000000000;0;99991231;0000001;0000000000000;BRBBVJCTF001;192
20190114;12;BCFF11;010;FII BC FFII;CI  ER;;R$;0000000008545;0000000008600;0000000008400;0000000008496;0000000008400;0000000008400;01510;000000000000025869;000000000219801455;0000000000000;0;99991231;0000001;0000000000000;BRBCFFCTF000;209
20190114;12;BCIA11;010;FII BCIA;CI;;R$;0000000010350;0000000010801;0000000010340;0000000010363;0000000010576;0000000010376;00222;000000000000019910;000000000206342378;0000000000000;0;99991231;0000001;0000000000000;BRBCIACTF005;144
20190114;12;BCRI11;010;FII BEES CRI;CI;;R$;0000000010991;0000000010997;0000000010935;0000000010982;0000000010990;0000000010983;00251;000000000000003397;000000000037308864;0000000000000;0;99991231;0000001;0000000000000;BRBCRICTF009;144
20190114;22;BEEF11;010;MINERVA;BNS ORD NM;;R$;0000000000165;0000000000170;0000000000151;0000000000161;0000000000163;0000000000163;00010;000000000000006200;000000000001000100;0000000000000;0;99991231;0000001;0000000000000;BRBEEFN02OR8;100
20190114;02;BEEF3;010;MINERVA;ON      NM;;R$;0000000000540;0000000000545;0000000000537;0000000000542;0000000000544;0000000000541;02765;000000000001505300;000000000815901600;0000000000000;0;99991231;0000001;0000000000000;BRBEEFACNOR6;108
20190114;02;BEES3;010;BANESTES;ON;;R$;0000000000448;0000000000448;0000000000440;0000000000446;0000000000447;0000000000445;00033;000000000000023300;000000000010406600;0000000000000;0;99991231;0000001;0000000000000;BRBEESACNOR9;319
20190114;02;BEES4;010;BANESTES;PN;;R$;0000000000472;0000000000490;0000000000470;0000000000477;0000000000470;0000000000441;00014;000000000000002700;000000000001289800;0000000000000;0;99991231;0000001;0000000000000;BRBEESACNPR6;244
20190114;02;BERK34;010;BERKSHIRE;DRN;;R$;0000000072517;0000000072517;0000000072517;0000000072517;0000000072517;0000000071559;00001;000000000000000200;000000000014503400;0000000000000;0;99991231;0000001;0000000000000;BRBERKBDR002;100
20190114;02;BIDI4;010;BANCO INTER;PN      N1;;R$;0000000003925;0000000004060;0000000003915;0000000003982;0000000004060;0000000004055;01842;000000000000435600;000000001734968100;0000000000000;0;99991231;0000001;0000000000000;BRBIDIACNPR0;103
20190114;02;BIIB34;010;BIOGEN;DRN;;R$;0000000020293;0000000020293;0000000020293;0000000020293;0000000020293;0000000000000;00001;000000000000000800;000000000016234400;0000000000000;0;99991231;0000001;0000000000000;BRBIIBBDR001;101
20190114;02;BIOM3;010;BIOMM;ON      MA;;R$;0000000000821;0000000000830;0000000000821;0000000000822;0000000000830;0000000000820;00003;000000000000000500;000000000000411400;0000000000000;0;99991231;0000001;0000000000000;BRBIOMACNOR2;106
20190114;02;BKBR3;010;BK BRASIL;ON      NM;;R$;0000000002084;0000000002198;0000000002084;0000000002154;0000000002190;0000000002180;06791;000000000003143100;000000006770825600;0000000000000;0;99991231;0000001;0000000000000;BRBKBRACNOR4;101
20190114;02;BMEB4;010;MERC BRASIL;PN;;R$;0000000000745;0000000000749;0000000000740;0000000000747;0000000000748;0000000000735;00021;000000000000017600;000000000013161600;0000000000000;0;99991231;0000001;0000000000000;BRBMEBACNPR5;199
20190114;02;BMIN4;010;MERC INVEST;PN;;R$;0000000001320;0000000001320;0000000001320;0000000001320;0000000001320;0000000001321;00001;000000000000000100;000000000000132000;0000000000000;0;99991231;0000001;0000000000000;BRBMINACNPR1;169
20190114;12;BMLC11B;010;FII BMBRC LC;CI  ER  MB;;R$;0000000007560;0000000007560;0000000007540;0000000007550;0000000007550;0000000007550;00009;000000000000000206;000000000001555340;0000000000000;0;99991231;0000001;0000000000000;BRBMLCCTF004;184
